id,name,ts
1,TMGL WC 2022,20220703
2,TMGL fall 2021 step 1,20211017
3,TMGL fall 2021 step 2,20211024
4,TMGL fall 2021 step 3,20211031
5,TMGL fall 2021 step 4,20211107
6,TMGL fall 2021 step 5,20211114
7,TMGL fall 2021 step 6,20211121
8,TMGL fall 2021 step 7,20211128
9,TMGL fall 2021 step 8,20211205
10,TMGL fall 2021 regular season,20211205
11,TMGL fall 2021 playoff,20211219
12,TMGL C fall 2021 regular season,20211128
13,TMGL C fall 2021 playoff,20211218
14,OGL fall 2021,20211211
15,TMGL spring 2022 step 1,20220306
16,TMGL spring 2022 step 2,20220313
17,TMGL spring 2022 step 3,20220320
18,TMGL spring 2022 step 4,20220327
19,TMGL spring 2022 step 5,20220403
20,TMGL spring 2022 step 6,20220410
21,TMGL spring 2022 regular season,20220410
22,TMGL spring 2022 playoff,20220424
23,TMGL C spring 2022 regular season,20220410
24,TMGL C spring 2022 playoff,20220417
25,OGL spring 2022,20220416
26,Solo summer 2021,20210930
27,Solo fall 2021,20211231
28,Solo winter 2022,20220331
29,Solo spring 2022,20220630
30,MSI 2022 event 1,20220129
31,MSI 2022 event 2,20220130
32,AGE 2022,20220814
33,ETC 2022,20220501
34,Sly cup feb 2022,20220206
35,Elity 5,20211003
36,GA tech 2022,20220417
37,GA mixed 2022,20220417
38,Eswap cup,20220619
